Senior Software Quality Assurance Engineer,Algoriza -,"Cairo, Egypt ",Full TimeExperienced · 3 - 6 Yrs of Exp · IT/Software Development · Quality · Engineering - Telecom/Technology · Agile · Quality Assurance · SQL · Software Testing · Automation · Software Development,https://wuzzuf.net/jobs/p/0MfjI3UDiThd-Senior-Software-Quality-Assurance-Engineer-Algoriza-Cairo-Egypt?o=33&l=sp&t=sj&a=software engineer|search-v3|hpb
Software Engineer,1D Consulting -,"Sheikh Zayed, Giza, Egypt ",Full TimeEntry Level · 0 - 6 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Computer Science · Integration · Programming · Active Directory · Database · Business Analyis · IAM · Information Security,https://wuzzuf.net/jobs/p/JHWAuo4n2ZoQ-Software-Engineer-1D-Consulting-Giza-Egypt?o=34&l=sp&t=sj&a=software engineer|search-v3|hpb
Java Full Stack Software Engineer,Confidential -,"Cairo, Egypt ",Full TimeExperienced · 4 - 6 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Computer Science · developer · Information Technology (IT) · Java · Java Developer · Software Development · Spring MVC · Hibernate,https://wuzzuf.net/jobs/p/OPRqIHYg0X5H-Java-Full-Stack-Software-Engineer-Cairo-Egypt?o=35&l=sp&t=sj&a=software engineer|search-v3|hpb
Software Quality Control Engineer,WeStore -,"Cairo, Egypt ",Full TimeEntry Level · 1 - 6 Yrs of Exp · IT/Software Development · Quality · Engineering - Telecom/Technology · Computer Science · Quality Control · Quality Assurance · Engineering · Agile · Security Testing,https://wuzzuf.net/jobs/p/Bq7SVCTPjxvL-Software-Quality-Control-Engineer-WeStore-Cairo-Egypt?o=36&l=sp&t=sj&a=software engineer|search-v3|hpb
Software Engineer,Advansys ESC -,"Nasr City, Cairo, Egypt ",Full TimeEntry Level · 1 - 3 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Engineering · Computer Science · Information Technology (IT) · OOP · Software · Software Development · Software Engineering · Java,https://wuzzuf.net/jobs/p/saG75reBqVgl-Software-Engineer-Advansys-ESC-Cairo-Egypt?o=37&l=sp&t=sj&a=software engineer|search-v3|hpb
Software Engineer AUTOSAR,Expleo -,"Maadi, Cairo, Egypt ",Full TimeExperienced · 2 - 4 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · C++ · Computer Engineering · Computer Science · Engineering · Development · English · Software Engineering · Information Technology (IT),https://wuzzuf.net/jobs/p/gSAfux35zcp2-Software-Engineer-AUTOSAR-Expleo-Cairo-Egypt?o=38&l=sp&t=sj&a=software engineer|search-v3|hpb
Lead/Senior Software Engineer (C++/Linux) - Relocation To Croatia,GlobalLogic Croatia d.o.o.  -,"Zagreb, Croatia ",Full TimeManager · 4+ Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Linux · English · Software Engineering · Software Devlopment · Automotive · C++ · Yocto · RTOS,https://wuzzuf.net/jobs/p/k2ICskGhILaN-LeadSenior-Software-Engineer-CLinux---Relocation-To-Croatia-GlobalLogic-Croatia-d-o-o-Zagreb-Croatia?o=39&l=sp&t=sj&a=software engineer|search-v3|hpb
Software QA Engineer (For US Company),Confidential -,"Glim, Alexandria, Egypt ",Full TimeExperienced · 2 - 5 Yrs of Exp · IT/Software Development · Quality · Engineering - Telecom/Technology · Information Technology (IT) · Communication skills · Software Engineering · Testing · Software Development · Computer Science · English,https://wuzzuf.net/jobs/p/LB2fHrrElTOD-Software-QA-Engineer-For-US-Company-Alexandria-Egypt?o=40&l=sp&t=sj&a=software engineer|search-v3|hpb
Software Engineer,Aseel -,"Cairo, Egypt ",Full TimeWork From HomeEntry Level · IT/Software Development · Engineering - Telecom/Technology · HTML5 · PHP · JavaScript · C++ · SQL Server · .Net · Information Technology (IT) · CSS,https://wuzzuf.net/jobs/p/MLaP8mqcf3Sb-Software-Engineer-Aseel-Cairo-Egypt?o=41&l=sp&t=sj&a=software engineer|search-v3|hpb
Software Quality Control Engineer,Confidential -,"Cairo, Egypt ",Full TimeWork From HomeExperienced · 2 - 5 Yrs of Exp · IT/Software Development · Quality · Engineering - Telecom/Technology · Quality Control · Engineering · Computer Science · Software · Testing · Quality Assurance · Scrum,https://wuzzuf.net/jobs/p/L1PhQLtcxwcO-Software-Quality-Control-Engineer-Cairo-Egypt?o=42&l=sp&t=sj&a=software engineer|search-v3|hpb
Software Sales Engineer,Confidential -,"Haram, Giza, Egypt ",Full TimeExperienced · 2 - 6 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Sales · Information Technology (IT) · business · Communication · computer · Computer Science · Software Development · Software Engineering,https://wuzzuf.net/jobs/p/ZvaPd394xkeS-Software-Sales-Engineer-Giza-Egypt?o=43&l=sp&t=sj&a=software engineer|search-v3|hpb
