Senior Business Intelligence Developer,WEmng -,"Giza, Egypt ",Full TimeExperienced · 3 - 5 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Performance · Computer Science · Design · Information Technology (IT) · Installation · Modeling · Configuration · Performance Tuning,https://wuzzuf.net/jobs/p/52vUn0nTQtJJ-Senior-Business-Intelligence-Developer-WEmng-Giza-Egypt?o=31&l=sp&t=sj&a=machine learning|search-v3|hpb
ChatBot Developer,Perfect Presentation -,"6th of October, Giza, Egypt ",Full TimeExperienced · 2+ Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Chatbots · Computer Science · Information Technology (IT) · Software Engineering,https://wuzzuf.net/jobs/p/VLUHUSA8cIJh-ChatBot-Developer-Perfect-Presentation-Giza-Egypt?o=32&l=sp&t=sj&a=machine learning|search-v3|hpb
IT Technical Support Administrator,Raya Customer Experience -,"6th of October, Giza, Egypt ",Full TimeEntry Level · 1 - 2 Yrs of Exp · Installation/Maintenance/Repair · IT/Software Development · Engineering - Telecom/Technology · Technical Support · Computer Science · Information Technology (IT),https://wuzzuf.net/jobs/p/UhpqpFqjvXiy-IT-Technical-Support-Administrator-Raya-Customer-Experience-Giza-Egypt?o=33&l=sp&t=sj&a=machine learning|search-v3|hpb
Algorithm Engineer,Tahaluf Al Emarat Technical Solutions -,"Cairo, Egypt ",Full TimeExperienced · 2+ Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Algorithms · CUDA · Computer Science · Git · Engineering · Software Engineering · C · Design,https://wuzzuf.net/jobs/p/DjexrRYn6C0W-Algorithm-Engineer-Tahaluf-Al-Emarat-Technical-Solutions-Cairo-Egypt?o=34&l=sp&t=sj&a=machine learning|search-v3|hpb
Technical Lead,Block Gemini -,"Mohandessin, Giza, Egypt ",Full TimeManager · 5 - 8 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Angular · computer · Computer Science · Data · Design · Development · Engineering · Information Technology (IT),https://wuzzuf.net/jobs/p/XdDxil39PkqC-Technical-Lead-Block-Gemini-Giza-Egypt?o=35&l=sp&t=sj&a=machine learning|search-v3|hpb
Big Data Consultant,Fingerprint consultancy -,"Cairo, Egypt ",Full TimeExperienced · 3+ Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Engineering - Other · Big Data · ETL · Hadoop · Computer Engineering · Computer Science · Programming · Python,https://wuzzuf.net/jobs/p/JveT6pAvDMik-Big-Data-Consultant-Fingerprint-consultancy-Cairo-Egypt?o=36&l=sp&t=sj&a=machine learning|search-v3|hpb
Pre Sales Engineer,BBI-Consultancy -,"Nasr City, Cairo, Egypt ",Full TimeExperienced · 4 - 6 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Communication skills · Creative · Presentation · Research · sales skills · Cloudera · Data · Kafka,https://wuzzuf.net/jobs/p/uOQ67iUrjzfg-Pre-Sales-Engineer-BBI-Consultancy-Cairo-Egypt?o=37&l=sp&t=sj&a=machine learning|search-v3|hpb
Outdoor Sales Engineer,ACFET -,"10th of Ramadan City, Cairo, Egypt ",Full TimeEntry Level · 0 - 1 Yrs of Exp · Sales/Retail · Engineering - Mechanical/Electrical · Electrical · Electrical Engineering · Outdoor Sales · Sales · Engineering · sales skills · Sales Target · English,https://wuzzuf.net/jobs/p/3dENXnAaq9eG-Outdoor-Sales-Engineer-ACFET-Cairo-Egypt?o=38&l=sp&t=sj&a=machine learning|search-v3|hpb
Data Engineer,Ashtar.app -,"Maadi, Cairo, Egypt ",Full TimeExperienced · 3 - 6 Yrs of Exp · IT/Software Development · Analyst/Research · Engineering - Telecom/Technology · Computer Science · Information Technology (IT) · Software Development · SQL · Analysis · Python · Big Data,https://wuzzuf.net/jobs/p/fDlF6yYJZ4ER-Data-Engineer-Ashtar-app-Cairo-Egypt?o=39&l=sp&t=sj&a=machine learning|search-v3|hpb
Senior Software Developer (.NET Centric),TMentors -,"Maadi, Cairo, Egypt ",Full TimeExperienced · 2 - 5 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · .Net Core · .Net · Information Technology (IT) · Software Development · Computer Science · .NET · Software Engineering · Node.js,https://wuzzuf.net/jobs/p/vWmzI1wZouQr-Senior-Software-Developer-NET-Centric-TMentors-Cairo-Egypt?o=40&l=sp&t=sj&a=machine learning|search-v3|hpb
Senior Software Developer (Focusing on Java),TMentors -,"Maadi, Cairo, Egypt ",Full TimeExperienced · 4 - 7 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Information Technology (IT) · Software Development · Computer Science · Software Engineering · javaScript · English · Software · Development,https://wuzzuf.net/jobs/p/dh9XH7bHlhMW-Senior-Software-Developer-Focusing-on-Java-TMentors-Cairo-Egypt?o=41&l=sp&t=sj&a=machine learning|search-v3|hpb
