job title,company name,location,skills,links
Senior Contracts Engineer,Confidential -,"Cairo, Egypt ",Full TimeExperienced · 6+ Yrs of Exp · Engineering - Construction/Civil/Architecture · Engineering - Mechanical/Electrical · Contracts · FIDIC · contracts engineer · Construction · clac · Civil Engineering · Mechanical · PMP,https://wuzzuf.net/jobs/p/3sIhL9ZJKaEP-Senior-Contracts-Engineer-Cairo-Egypt?o=47&l=sp&t=sj&a=engineer|search-v3|hpb
Tendering Estimation Engineer (Civil or Arch.),BuildIn -,"Cairo, Egypt ",Full TimeExperienced · 4+ Yrs of Exp · Engineering - Construction/Civil/Architecture · Civil Engineering · Tendering · Engineering · Construction · Consulting · English · Civil,https://wuzzuf.net/jobs/p/L2IkAmpVENpf-Tendering-Estimation-Engineer-Civil-or-Arch-BuildIn-Cairo-Egypt?o=48&l=sp&t=sj&a=engineer|search-v3|hpb
Technical Office Engineer ( Architecture - Civil ),Confidential -,"Sohag, Egypt ",Full TimeExperienced · 2 - 4 Yrs of Exp · Engineering - Construction/Civil/Architecture · Civil · Architecture · Engineering,https://wuzzuf.net/jobs/p/rMr6kWfd5vvk-Technical-Office-Engineer-Architecture---Civil-Sohag-Egypt?o=49&l=sp&t=sj&a=engineer|search-v3|hpb
Technical Office Engineer ( MEP ),Confidential -,"Heliopolis, Cairo, Egypt ",Full TimeExperienced · 2 - 4 Yrs of Exp · Engineering - Construction/Civil/Architecture · Engineering - Mechanical/Electrical · Engineering · excel · Microsoft Office,https://wuzzuf.net/jobs/p/Ih7nfVLyXcRR-Technical-Office-Engineer-MEP-Cairo-Egypt?o=50&l=sp&t=sj&a=engineer|search-v3|hpb
Junior Mechanical Design Engineer - Cairo,Samaya Electronics Egypt LTD -,"Nasr City, Cairo, Egypt ","Full TimeEntry Level · 1 - 2 Yrs of Exp · Creative/Design/Art · Engineering - Mechanical/Electrical · Creo · Product Design · SOLID WORK · siemence NX, PLM, DFMEA, DFM, DFA, GD&T · CAD · Design · Engineering · English",https://wuzzuf.net/jobs/p/FplmqmkCmHcK-Junior-Mechanical-Design-Engineer---Cairo-Samaya-Electronics-Egypt-LTD-Cairo-Egypt?o=51&l=sp&t=sj&a=engineer|search-v3|hpb
Senior PHP Software Engineer,CYSHIELD -,"Sheraton, Cairo, Egypt ",Full TimeExperienced · 3+ Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Engineering · Information Technology (IT) · PHP · Laravel · Software Development · Software · JavaScript · HTML,https://wuzzuf.net/jobs/p/nK63rXB9HHB0-Senior-PHP-Software-Engineer-CYSHIELD-Cairo-Egypt?o=52&l=sp&t=sj&a=engineer|search-v3|hpb
IT Network Engineer,Confidential -,"New Cairo, Cairo, Egypt ",Full TimeExperienced · 3 - 5 Yrs of Exp · Installation/Maintenance/Repair · IT/Software Development · Engineering - Telecom/Technology · Computer Science · English · Help desk · Information Technology (IT) · Microsoft Office · Installation · computer,https://wuzzuf.net/jobs/p/RagsT8Hs6ICA-IT-Network-Engineer-Cairo-Egypt?o=53&l=sp&t=sj&a=engineer|search-v3|hpb
Cost Control Engineer-Manager,KCG -,"Jeddah, Saudi Arabia ",Full TimeManager · 10 - 15 Yrs of Exp · Engineering - Construction/Civil/Architecture · Project/Program Management · Construction · Engineering · Management · Quality Assurance · Quality Control,https://wuzzuf.net/jobs/p/wJuUYdQ7kiLA-Cost-Control-Engineer-Manager-KCG-Jeddah-Saudi-Arabia?o=54&l=sp&t=sj&a=engineer|search-v3|hpb
Electrical Design Engineer,Confidential -,"Dokki, Giza, Egypt ",Full TimeExperienced · 5 - 7 Yrs of Exp · Creative/Design/Art · Engineering - Mechanical/Electrical · Engineering · Design · Electrical Engineering · Electrical · Revit · Skills · BIM · AutoCAD,https://wuzzuf.net/jobs/p/H8SSBmrn4XrB-Electrical-Design-Engineer-Giza-Egypt?o=55&l=sp&t=sj&a=engineer|search-v3|hpb
Mechanical / Electrical - Site Engineer,Gama Construction -,"Katameya, Cairo, Egypt ",Full TimeExperienced · 2 - 5 Yrs of Exp · Engineering - Mechanical/Electrical · Electrical Engineering · Mechanical Engineering,https://wuzzuf.net/jobs/p/s6Vr8O0RIZl1-Mechanical-Electrical---Site-Engineer-Gama-Construction-Cairo-Egypt?o=56&l=sp&t=sj&a=engineer|search-v3|hpb
Quality Assurance Engineer (QA),AlGammal Contracting -,"Haram, Giza, Egypt ",Full TimeExperienced · 3 - 5 Yrs of Exp · Engineering - Construction/Civil/Architecture · Quality · Quality Assurance · Engineering · quality · Communication · Communication skills · Skills,https://wuzzuf.net/jobs/p/jDXE53yGiz1T-Quality-Assurance-Engineer-QA-AlGammal-Contracting-Giza-Egypt?o=57&l=sp&t=sj&a=engineer|search-v3|hpb
Cost Control senior engineer,KCG -,"Sheraton, Cairo, Egypt ",Full TimeExperienced · 5 - 10 Yrs of Exp · Quality · Engineering - Telecom/Technology · Cost Control · Engineering · Quality Control · Cost,https://wuzzuf.net/jobs/p/c4FnCVpT1BsU-Cost-Control-senior-engineer-KCG-Cairo-Egypt?o=58&l=sp&t=sj&a=engineer|search-v3|hpb
